A,B,C,D,E,F,G,H,I,J,K,L,M
9.515000000000166,-0.001417767155602434,-0.0003249978437117017,0.00020832210840423387,0.0003523162495057018,0.0008166645938457256,0.00038700502207810963,0.04177285491869895,-0.02139663580314935,-0.02494497780247241,-0.003145930885652519,-0.0011049891024402976,4.836113335748821e-5
9.516000000000165,-0.0014146257902402995,-0.00032389643143536026,0.00020826919457122076,0.00034262412815995544,0.0008105910648556753,0.00037943253001820404,0.041769713553336814,-0.02139773721542569,-0.0249449248886394,-0.0031362387643067728,-0.0010989155734502474,5.593362541739378e-5
9.517000000000165,-0.0014114958002224148,-0.0003227978523183926,0.0002082133069678943,0.00033016813200692496,0.0008101119606042822,0.0003802488939808584,0.04176658356331893,-0.02139883579454266,-0.024944869001036072,-0.0031237827681537423,-0.0010984364691988542,5.5117261454739465e-5
9.518000000000164,-0.0014083781417106034,-0.00032169917087954136,0.0002081604086878741,0.0003178278592255771,0.0008110936165867436,0.0003855871907571279,0.04176346590480712,-0.02139993447598151,-0.024944816102756052,-0.0031114424953723944,-0.0010994181251813156,4.9778964678469976e-5
9.519000000000164,-0.0014052730987518663,-0.0003205980326346815,0.00020811554970634819,0.0003056501779103221,0.0008143282343350069,0.00039496040834719045,0.04176036086184838,-0.02140103561422637,-0.024944771243774526,-0.0030992648140571394,-0.001102652742929579,4.040574708840737e-5
9.520000000000163,-0.0014021783692985956,-0.00031949427663690785,0.0002080786636962581,0.000296311907085092,0.0008156505743203762,0.00040050699275558376,0.04175726613239511,-0.021402139370224144,-0.024944734357764436,-0.0030899265432319093,-0.0011039750829149482,3.48591626800141e-5
9.521000000000162,-0.001399093780763895,-0.0003183918508082584,0.00020804284560180936,0.0002862998979784241,0.0008118470333743264,0.0003987681356009285,0.04175418154386041,-0.021403241796052793,-0.024944698539669987,-0.0030799145341252414,-0.0011001715419688984,3.659801983466933e-5
9.522000000000162,-0.0013960172122144815,-0.00031729534361780304,0.0002080058256693565,0.00027965998217673255,0.0008048024497400586,0.0003976075550787114,0.041751104975310996,-0.02140433830324325,-0.024944661519737534,-0.00307327461832355,-0.0010931269583346307,3.7758600356886444e-5
9.523000000000161,-0.0013929471274200175,-0.00031620502865279884,0.000207966694890524,0.0002735825756770018,0.0007992036445089602,0.0003942305114614472,0.04174803489051653,-0.021405428618208253,-0.0249446223889587,-0.003067197211823819,-0.0010875281531035322,4.113564397415061e-5
9.52400000000016,-0.0013898822133084077,-0.0003151202369487405,0.0002079222890080737,0.00026961213101454103,0.0007928705706567326,0.0003870524646343648,0.04174496997640492,-0.02140651340991231,-0.02494457798307625,-0.0030632267671613584,-0.0010811950792513046,4.8313690801233006e-5
9.52500000000016,-0.0013868194823742006,-0.000314044358845824,0.00020786879236917022,0.00026964560395498736,0.000781737907888831,0.00037671828386583764,0.041741907245470715,-0.021407589288015227,-0.024944524486437348,-0.0030632602401018047,-0.001070062416483403,5.864787156976019e-5
9.52600000000016,-0.001383753642550542,-0.0003129811095359744,0.00020780505669580618,0.0002747505135878986,0.0007685882133063725,0.00036462024705434873,0.041738841405647056,-0.021408652537325077,-0.024944460750763984,-0.003068365149734716,-0.0010569127219009445,7.074590838124913e-5
9.52700000000016,-0.001380682860589684,-0.0003119295803646546,0.00020772345568595418,0.00027984121286259416,0.0007587612952410388,0.00034295321303412686,0.0417357706236862,-0.021409704066496397,-0.024944379149754132,-0.0030734558490094115,-0.0010470858038356108,9.2412942401471e-5
9.528000000000159,-0.001377606216698475,-0.0003108850575621082,0.00020762031714885096,0.0002861110758443589,0.0007542937909750657,0.00032181420467761385,0.04173269397979499,-0.021410748589298943,-0.02494427601121703,-0.0030797257119911763,-0.0010426182995696377,0.00011355195075798399
9.529000000000158,-0.001374523621608524,-0.0003098430267688933,0.00020749697614652618,0.000290993199606065,0.0007532698760325677,0.00030225216915625696,0.04172961138470504,-0.021411790620092158,-0.024944152670214704,-0.0030846078357528823,-0.0010415943846271397,0.00013311398627934086
